scene no,scene dialogue,chap no,chap dialogue,scene,chapter
0,"Written by Jared Bush & Phil Johnston Story by Byron Howard, Rich Moore, Jared Bush, Jim Reardon, Josie Trinidad, Phil Johnston and Jennifer Lee ",10,"And if you want this pen, you're going to cooperate with my investigation or the only place you'll be selling pawpsicles is the prison cafeteria.",,
0,"Fear. Treachery. Bloodlust! Thousands of years ago, these were the forces that ruled our world. A world where prey were scared of predators. And predators had an uncontrollable biological urge to maim and maul and... ",1,"Fear. Treachery. Bloodlust! Thousands of years ago, these were the forces that ruled our world. A world where prey were scared of predators. And predators had an uncontrollable desire to maim and maul and—",,
0,"Blood, blood, blood! ",1,"Blood, blood, blood! ",,
0,And death. ,1,And death.,,
0,"Back then, the world was divided in two. Vicious predator or Meek prey. ",1,"Back then, the world was divided in two: vicious￼ predator or meek￼ prey.",,
0,"But over time, we evolved, and moved beyond our primitive savage ways. ",1,"But over time, we evolved and moved beyond our primitive, savage ways.",,
0,"Now, predator and prey live in harmony. ",13,You ever seen anything like this? ,,
0,And every young mammal has multitudinous opportunities. ,1,"And every young mammal has multitudinous opportunities, ",,
0,"Yeah, I don't have to cower in a herd anymore. ",1,"Yeah. I don't have to cower in a herd anymore, ",,
0,Instead I can be an astronaut. ,1,"Instead, I can be an astronaut.",,
0,I don't have to be a lonely hunter any more. ,1,"I don't have to grow up to be a lonely hunter, ",,
0,Today I can hunt for tax exemptions. I'm gonna be an actuary! ,1,Today I can hunt for tax exemptions￼. I'm gonna be an actuary￼! ,,
0,And I can make the world a better place! I am going to be... ,3,"And I put some snacks in there, ",,
0,A police officer! ,1,A police officer! ,,
0,Bunny cop. That is the most stupidest thing I ever heard. ,1,"Bunny cop. That is the most stupidest thing I ever heard, ",,
0,It may seem impossible to small minds-- (points at Gideon) I'm looking at you Gideon Grey. ,1,"It may seem impossible… to small minds, ",,
0,"But just 211 miles away stands the great city of Zootopia! Where our ancestors first joined together in peace, and declared that anyone can be anything! Thank you and good night! ",17,"I thought this was just a missing mammal case, but it's way bigger. Mr. Otterton did not just disappear. I believe he and this jaguar… they went savage, sir.",,
======,Scene 0 is aligned with chapter 1,===========,=============,0,1
1,"Judy, you ever wonder how your mom and me got to be so darn happy? ",10,"Carrots, you're gonna wake the baby. I've got to get to work, ",,
1,Nope. ,1,"Nope, ",,
1,"Well, we gave up on our dreams and we settled, right Bon? ",17,"Well, he was a key witness, and I enlisted￼ his services, ",,
1,"Oh yes, that's right, Stu. We settled hard. ",1,"Oh yes, ",,
1,"See, that's the beauty of complacency, Jude. If you don't try anything new, you'll never fail. ",1,"See, that's the beauty of complacency￼, Jude. If you don't try anything new, you'll never fail, ",,
1,"I like trying, actually. ",1,"I like trying, actually, ",,
1,"What your father means, hon, is it's gonna be difficult-- impossible even-- for you to become a police officer. ",26,"What you've got in the weapon there—those are blueberries. From my family's farm, ",,
1,Right. There's never been a bunny cop. ,7,Right. And that's not wet cement.,,
1,No. ,11,"No, ",,
1,Bunnies don't do that. ,14,Put 'em down.,,
1,Never. ,1,"Nope, ",,
1,Never. ,1,"Nope, ",,
1,Oh. Then I guess I'll have to be the first one. Because I am gonna make the world... (parkours against a vendor's stand) A better place! ,13,"I, uh, may or may not have sold him a very expensive wool rug… that was made from the fur of a… skunk￼'s butt, ",,
1,"OR... um, heck, you wanna talk about making the world a better place-- ",22,"Yeah, Terry ate one whole when we were kids and went completely nuts, ",,
1,#NAME?,10,Then we'll have to do this the hard way.,,
1,"Yes! Your dad, me, your 275 brothers and sisters-- we're changing the world. ",22,"Yeah. I tried, and I made life so much worse for so many innocent predators.",,
1,Yep. ,14,Yes! ,,
1,One carrot at a time... ,25,One toot-toot.,,
1,Amen to that. Carrot farming is a noble profession. ,1,"Amen to that. Carrot farming is a noble profession, ",,
1,Mmm hmm. Just putting the seeds in the ground. ,11,"Yeah, in Zootopia anyone can be anything…, ",,
1,"Ahh, at one with the soil. ",2,"Look at her nose twitch, ",,
1,"You get it. I mean, it's great to have dreams. ",1,"You get it, honey? ",,
1,"Yeah, just as long as you don't believe in em too much. (finally noticing Judy's absence) Where in the heck'd she go? ",1,"Yeah, just as long as you don't believe in them too much, ",,
1,"Gimme your tickets right now, or I'm gonna kick your meek little sheep butt. ",16,"I can tell you're tense, so I'm just gonna give you a little personal space, ",,
1,"Ow! Cut it out, Gideon! ",3,Check this out! ,,
1,"Baa-baa. What're ya gonna do, cry? ",2,"Baa-baa, ",,
1,Hey! ,2,Hey! ,,
1,You heard her. Cut it out. ,2,You heard her. Cut it out.,,
1,"Nice costume, loser. What crazy world are you living in where you think a bunny could be a cop? ",2,"Nice costume, loser, ",,
1,Kindly return my friends' tickets. ,2,"Kindly return my friend's tickets, ",,
1,"Come and get `em.... But watch out, `cause I'm a fox-- and like you said in your dumb little stage play, us predators used to eat prey. And that killer instinct's still in our Dunnahh. ",6,"And you, little guy, you want to be an elephant when you grow up… you be an elephant—because this is Zootopia, and anyone can be anything.",,
1,"(sotto, to Gideon) Uh, I'm pretty much sure it's pronounced D-N-A. ",11,The plate… I can't run the plate… I'm not in the system yet.,,
1,"Don't tell me what I know, Travis. ",2,"Don't tell me what I know, Travis, ",,
1,"You don't scare me, Gideon. ",2,"You don't scare me, Gideon, ",,
1,You scared now? ,2,You scared now? ,,
1,Lookit her nose twitch. She is scared! ,1,I guess I'll have to be the first one! ,,
1,"Cry little baby bunny. Cry, cry -- ",7,I am not a dumb bunny.,,
1,"Oh, you don't know when to quit, do ya? ",2,"Oh, you don't know when to quit, do you? ",,
1,"I want you to remember this moment-- the next time you think you will ever be anything more than just a stupid, carrot farming dumb bunny. ",2,"I want you to remember this moment, ",,
1,That looks bad. ,6,Toot-toot! ,,
1,"Are you okay, Judy? ",2,"Are you okay, Judy? ",,
1,"Yeah... Yeah, I'm okay. ",3,"Yeah. Scared, too, ",,
1,Here you go. ,2,Here you go! ,,
1,Wow! You got our tickets! ,16,"Wow. You are one hot dancer, ",,
1,"You're awesome, Judy! ",2,"You're awesome, Judy! ",,
1,Yeah! That Gideon Grey doesn't know what he's talkin' `bout. ,11,"Yeah, some mammals say the naturalist life is weird, ",,
1,"Well, he was right about one thing... ",2,"Well, he was right about one thing: I don't know when to quit￼.",,
1,I don't know when to quit. ,21,I don't understand.,,
1,8,12,"T, ",,
======,Scene 1 is aligned with chapter 2,===========,=============,1,2
