scene no,scene dialogue,chap no,chap dialogue,scene,chapter
0,"Written by Jared Bush & Phil Johnston Story by Byron Howard, Rich Moore, Jared Bush, Jim Reardon, Josie Trinidad, Phil Johnston and Jennifer Lee ",10,"She hustled you. She hustled you good. You're a cop now, Nick; you're gonna need one of these! ",,
0,"Fear. Treachery. Bloodlust! Thousands of years ago, these were the forces that ruled our world. A world where prey were scared of predators. And predators had an uncontrollable biological urge to maim and maul and... ",1,"Fear. Treachery. Bloodlust! Thousands of years ago, these were the forces that ruled our world. A world where prey were scared of predators. And predators had an uncontrollable desire to maim and maul and—",,
0,"Blood, blood, blood! ",1,"Blood, blood, blood! ",,
0,And death. ,1,And death.,,
0,"Back then, the world was divided in two. Vicious predator or Meek prey. ",1,"Back then, the world was divided in two: vicious￼ predator or meek￼ prey.",,
0,"But over time, we evolved, and moved beyond our primitive savage ways. ",1,"But over time, we evolved and moved beyond our primitive, savage ways.",,
0,"Now, predator and prey live in harmony. ",1,Now predator and prey live in harmony.,,
0,And every young mammal has multitudinous opportunities. ,1,"And every young mammal has multitudinous opportunities, ",,
0,"Yeah, I don't have to cower in a herd anymore. ",1,"Yeah. I don't have to cower in a herd anymore, ",,
0,Instead I can be an astronaut. ,1,"Instead, I can be an astronaut.",,
0,I don't have to be a lonely hunter any more. ,1,"I don't have to grow up to be a lonely hunter, ",,
0,Today I can hunt for tax exemptions. I'm gonna be an actuary! ,1,Today I can hunt for tax exemptions￼. I'm gonna be an actuary￼! ,,
0,And I can make the world a better place! I am going to be... ,21,"I came here to make the world a better place, but I think I broke it.",,
0,A police officer! ,1,A police officer! ,,
0,Bunny cop. That is the most stupidest thing I ever heard. ,1,"Bunny cop. That is the most stupidest thing I ever heard, ",,
0,It may seem impossible to small minds-- (points at Gideon) I'm looking at you Gideon Grey. ,1,"It may seem impossible… to small minds, ",,
0,"But just 211 miles away stands the great city of Zootopia! Where our ancestors first joined together in peace, and declared that anyone can be anything! Thank you and good night! ",1,"But just two hundred and eleven miles away stands the great city of… ZOOTOPIA! Where our ancestors first joined together in peace, and declared that ANYONE CAN BE ANYTHING! Thank you and good night! ",,
======,Scene 0 is aligned with chapter 1,===========,=============,0,1
1,"Judy, you ever wonder how your mom and me got to be so darn happy? ",1,"Judy, ever wonder how your mom and me got to be so darn happy? ",,
1,Nope. ,1,"Nope, ",,
1,"Well, we gave up on our dreams and we settled, right Bon? ",1,"We gave up on our dreams and we settled, right, Bon? ",,
1,"Oh yes, that's right, Stu. We settled hard. ",1,"That's right, Stu. We settled hard.",,
1,"See, that's the beauty of complacency, Jude. If you don't try anything new, you'll never fail. ",1,"See, that's the beauty of complacency￼, Jude. If you don't try anything new, you'll never fail, ",,
1,"I like trying, actually. ",1,"I like trying, actually, ",,
1,"What your father means, hon, is it's gonna be difficult-- impossible even-- for you to become a police officer. ",22,"He's our partner! And we'd never have considered it had you not opened our minds, ",,
1,Right. There's never been a bunny cop. ,1,"There's never been a bunny cop, ",,
1,No. ,11,"No, ",,
1,Bunnies don't do that. ,9,Let me borrow that.,,
1,Never. ,1,"Nope, ",,
1,Never. ,1,"Nope, ",,
1,Oh. Then I guess I'll have to be the first one. Because I am gonna make the world... (parkours against a vendor's stand) A better place! ,1,Because I'm gonna make the world a better place.,,
1,"OR... um, heck, you wanna talk about making the world a better place-- ",5,You ready to make the world a better place? ,,
1,--no better way to do it than becoming a carrot farmer. ,1,"Instead, I can be an astronaut.",,
1,"Yes! Your dad, me, your 275 brothers and sisters-- we're changing the world. ",3,"Actually, your father does have a point there, ",,
1,Yep. ,14,Yes! ,,
1,One carrot at a time... ,25,One toot-toot.,,
1,Amen to that. Carrot farming is a noble profession. ,1,"Amen to that. Carrot farming is a noble profession, ",,
1,Mmm hmm. Just putting the seeds in the ground. ,20,"I just stated the facts of the case, ",,
1,"Ahh, at one with the soil. ",7,What's with the color? ,,
1,"You get it. I mean, it's great to have dreams. ",1,"I mean, it's great to have dreams.",,
1,"Yeah, just as long as you don't believe in em too much. (finally noticing Judy's absence) Where in the heck'd she go? ",1,"Yeah, just as long as you don't believe in them too much, ",,
1,"Gimme your tickets right now, or I'm gonna kick your meek little sheep butt. ",2,"Give me your tickets right now, or I'm gonna kick your meek little sheep butt, ",,
1,"Ow! Cut it out, Gideon! ",2,"Cut it out, Gideon! ",,
1,"Baa-baa. What're ya gonna do, cry? ",2,"What're ya gonna do, cry? ",,
1,Hey! ,2,Hey! ,,
1,You heard her. Cut it out. ,2,You heard her. Cut it out.,,
1,"Nice costume, loser. What crazy world are you living in where you think a bunny could be a cop? ",2,What crazy world are you living in where you think a bunny could be a cop? ,,
1,Kindly return my friends' tickets. ,2,"Kindly return my friend's tickets, ",,
1,"Come and get `em.... But watch out, `cause I'm a fox-- and like you said in your dumb little stage play, us predators used to eat prey. And that killer instinct's still in our Dunnahh. ",2,"Come get 'em. But watch out, 'cause I'm a fox. And like you said in your dumb little stage play, we predators used to eat prey. And that killer instinct￼ is still in our Dunnahh.",,
1,"(sotto, to Gideon) Uh, I'm pretty much sure it's pronounced D-N-A. ",2,"I'm pretty sure it's pronounced D-N-A, ",,
1,"Don't tell me what I know, Travis. ",2,"Don't tell me what I know, Travis, ",,
1,"You don't scare me, Gideon. ",2,"You don't scare me, Gideon, ",,
1,You scared now? ,2,You scared now? ,,
1,Lookit her nose twitch. She is scared! ,2,"Look at her nose twitch, ",,
1,"Cry little baby bunny. Cry, cry -- ",2,"Cry, little baby bunny. Cry, cry—",,
