,index,type,title,text,chars,scene,text_in_book,score,chapter,vote_chapter,vote_percentage
0,0,dialog,ZOOTOPIA,"Written by Jared Bush & Phil Johnston Story by Byron Howard, Rich Moore, Jared Bush, Jim Reardon, Josie Trinidad, Phil Johnston and Jennifer Lee ",{},0,Okay. Tell me if this story sounds familiar.,0.2936969,26,1,0.8823529411764706
1,3,dialog,YOUNG JUDY,"Fear. Treachery. Bloodlust! Thousands of years ago, these were the forces that ruled our world. A world where prey were scared of predators. And predators had an uncontrollable biological urge to maim and maul and... ",{},0,"Fear. Treachery. Bloodlust! Thousands of years ago, these were the forces that ruled our world. A world where prey were scared of predators. And predators had an uncontrollable desire to maim and maul and—",0.98501444,1,1,0.8823529411764706
2,6,dialog,YOUNG JUDY,"Blood, blood, blood! ",{},0,"Blood, blood, blood! ",0.9999998,1,1,0.8823529411764706
3,8,dialog,YOUNG JUDY,And death. ,{},0,And death.,1.0,1,1,0.8823529411764706
4,10,dialog,YOUNG JUDY,"Back then, the world was divided in two. Vicious predator or Meek prey. ",{},0,Now predator and prey live in harmony.,0.6408454,1,1,0.8823529411764706
5,12,dialog,YOUNG JUDY,"But over time, we evolved, and moved beyond our primitive savage ways. ",{},0,These predators may be reverting back to their primitive savage ways.,0.5844853,13,1,0.8823529411764706
6,14,dialog,YOUNG JUDY,"Now, predator and prey live in harmony. ",{},0,Now predator and prey live in harmony.,0.99074566,1,1,0.8823529411764706
7,16,dialog,YOUNG JUDY,And every young mammal has multitudinous opportunities. ,{},0,"And every young mammal has multitudinous opportunities, ",0.99547505,1,1,0.8823529411764706
8,17,dialog,ASTRONAUT SHEEP,"Yeah, I don't have to cower in a herd anymore. ",{},0,"Yeah. I don't have to cower in a herd anymore, ",0.9947568,1,1,0.8823529411764706
9,19,dialog,ASTRONAUT SHEEP,Instead I can be an astronaut. ,{},0,"Instead, I can be an astronaut.",0.9916786,1,1,0.8823529411764706
10,21,dialog,ACTUARY JAGUAR,I don't have to be a lonely hunter any more. ,{},0,"I don't have to grow up to be a lonely hunter, ",0.8813863,1,1,0.8823529411764706
11,23,dialog,ACTUARY,Today I can hunt for tax exemptions. I'm gonna be an actuary! ,{},0,Today I can hunt for tax exemptions￼. I'm gonna be an actuary￼! ,0.6882299,1,1,0.8823529411764706
12,24,dialog,YOUNG JUDY,And I can make the world a better place! I am going to be... ,{},0,"I can make the world a better place—saving lives, defending the defenseless! I am going to be…",0.7336546,1,1,0.8823529411764706
13,26,dialog,YOUNG JUDY,A police officer! ,{},0,A police officer! ,0.9999999,1,1,0.8823529411764706
14,28,dialog,GIDEON GREY,Bunny cop. That is the most stupidest thing I ever heard. ,{},0,"Bunny cop. That is the most stupidest thing I ever heard, ",0.99799055,1,1,0.8823529411764706
15,29,dialog,YOUNG JUDY,It may seem impossible to small minds-- (points at Gideon) I'm looking at you Gideon Grey. ,{},0,"I'm looking at you, Gideon Grey.",0.7902947,1,1,0.8823529411764706
16,31,dialog,YOUNG JUDY,"But just 211 miles away stands the great city of Zootopia! Where our ancestors first joined together in peace, and declared that anyone can be anything! Thank you and good night! ",{},0,"But just two hundred and eleven miles away stands the great city of… ZOOTOPIA! Where our ancestors first joined together in peace, and declared that ANYONE CAN BE ANYTHING! Thank you and good night! ",0.9651261,1,1,0.8823529411764706
17,34,dialog,STU HOPPS,"Judy, you ever wonder how your mom and me got to be so darn happy? ",{},1,"Judy, ever wonder how your mom and me got to be so darn happy? ",0.9936651,1,12,0.4897959183673469
18,35,dialog,YOUNG JUDY,Nope. ,{},1,Nope.,1.0,3,12,0.4897959183673469
19,36,dialog,STU HOPPS,"Well, we gave up on our dreams and we settled, right Bon? ",{},1,"We gave up on our dreams and we settled, right, Bon? ",0.9820506,1,12,0.4897959183673469
20,37,dialog,BONNIE HOPPS,"Oh yes, that's right, Stu. We settled hard. ",{},1,"That's right, Stu. We settled hard.",0.9848781,1,12,0.4897959183673469
21,38,dialog,STU HOPPS,"See, that's the beauty of complacency, Jude. If you don't try anything new, you'll never fail. ",{},1,"See, that's the beauty of complacency￼, Jude. If you don't try anything new, you'll never fail, ",0.8047902,1,12,0.4897959183673469
22,39,dialog,YOUNG JUDY,"I like trying, actually. ",{},1,"I like trying, actually, ",0.95864403,1,12,0.4897959183673469
23,40,dialog,BONNIE HOPPS,"What your father means, hon, is it's gonna be difficult-- impossible even-- for you to become a police officer. ",{},1,"Junior Detective. You know, I think you'd actually make a pretty good cop.",0.4691575,10,12,0.4897959183673469
24,41,dialog,STU HOPPS,Right. There's never been a bunny cop. ,{},1,"There's never been a bunny cop, ",0.9656522,1,12,0.4897959183673469
25,42,dialog,BONNIE HOPPS,No. ,{},1,No.,1.0000001,5,12,0.4897959183673469
26,43,dialog,STU HOPPS,Bunnies don't do that. ,{},1,"You bunnies are so emotional, ",0.6454928,16,12,0.4897959183673469
27,44,dialog,BONNIE HOPPS,Never. ,{},1,No.,0.43318093,5,12,0.4897959183673469
28,45,dialog,STU HOPPS,Never. ,{},1,No.,0.43318093,5,12,0.4897959183673469
29,46,dialog,YOUNG JUDY,Oh. Then I guess I'll have to be the first one. Because I am gonna make the world... (parkours against a vendor's stand) A better place! ,{},1,I guess I'll have to be the first one! ,0.5947085,1,12,0.4897959183673469
30,47,dialog,STU HOPPS,"OR... um, heck, you wanna talk about making the world a better place-- ",{},1,"Or… heck, you wanna talk about making the world a better place—no better way to do it than becoming a carrot farmer, ",0.6945129,1,12,0.4897959183673469
31,49,dialog,STU HOPPS,--no better way to do it than becoming a carrot farmer. ,{},1,"Or… heck, you wanna talk about making the world a better place—no better way to do it than becoming a carrot farmer, ",0.7665669,1,12,0.4897959183673469
32,50,dialog,BONNIE HOPPS,"Yes! Your dad, me, your 275 brothers and sisters-- we're changing the world. ",{},1,"Yes! Your dad and me and your two hundred seventy-five brothers and sisters—we're changing the world one carrot at a time, ",0.70971537,1,12,0.4897959183673469
33,51,dialog,STU HOPPS,Yep. ,{},1,Yes.,0.84871316,13,12,0.4897959183673469
34,52,dialog,BONNIE HOPPS,One carrot at a time... ,{},1,"Four dozen carrots, ",0.74376875,15,12,0.4897959183673469
35,53,dialog,STU HOPPS,Amen to that. Carrot farming is a noble profession. ,{},1,"Amen to that. Carrot farming is a noble profession, ",0.9984944,1,12,0.4897959183673469
36,55,dialog,BONNIE HOPPS,Mmm hmm. Just putting the seeds in the ground. ,{},1,They are delicious. You should try some.,0.3948064,19,12,0.4897959183673469
37,56,dialog,STU HOPPS,"Ahh, at one with the soil. ",{},1,Right. And that's not wet cement.,0.42391285,26,12,0.4897959183673469
38,58,dialog,BONNIE HOPPS,"You get it. I mean, it's great to have dreams. ",{},1,"I mean, it's great to have dreams.",0.8673256,1,12,0.4897959183673469
39,59,dialog,STU HOPPS,"Yeah, just as long as you don't believe in em too much. (finally noticing Judy's absence) Where in the heck'd she go? ",{},1,"Are you okay, Judy? ",0.58376765,12,12,0.4897959183673469
40,61,dialog,GIDEON GREY,"Gimme your tickets right now, or I'm gonna kick your meek little sheep butt. ",{},1,"Give me your tickets right now, or I'm gonna kick your meek little sheep butt, ",0.9532378,12,12,0.4897959183673469
41,62,dialog,SHARLA,"Ow! Cut it out, Gideon! ",{},1,"Cut it out, Gideon! ",0.96194005,12,12,0.4897959183673469
42,63,dialog,GIDEON GREY,"Baa-baa. What're ya gonna do, cry? ",{},1,"What're ya gonna do, cry? ",0.8002501,12,12,0.4897959183673469
43,65,dialog,YOUNG JUDY,Hey! ,{},1,Hey! ,1.0000001,12,12,0.4897959183673469
44,67,dialog,YOUNG JUDY,You heard her. Cut it out. ,{},1,You heard her. Cut it out.,1.0000002,12,12,0.4897959183673469
45,69,dialog,GIDEON GREY,"Nice costume, loser. What crazy world are you living in where you think a bunny could be a cop? ",{},1,What crazy world are you living in where you think a bunny could be a cop? ,0.90440017,12,12,0.4897959183673469
46,70,dialog,YOUNG JUDY,Kindly return my friends' tickets. ,{},1,"Kindly return my friend's tickets, ",0.9203483,12,12,0.4897959183673469
47,72,dialog,GIDEON GREY,"Come and get `em.... But watch out, `cause I'm a fox-- and like you said in your dumb little stage play, us predators used to eat prey. And that killer instinct's still in our Dunnahh. ",{},1,"Come get 'em. But watch out, 'cause I'm a fox. And like you said in your dumb little stage play, we predators used to eat prey. And that killer instinct￼ is still in our Dunnahh.",0.95817006,12,12,0.4897959183673469
48,73,dialog,TRAVIS THE WOLF HENCHMAN KID,"(sotto, to Gideon) Uh, I'm pretty much sure it's pronounced D-N-A. ",{},1,"I'm pretty sure it's pronounced D-N-A, ",0.7693267,12,12,0.4897959183673469
49,74,dialog,GIDEON GREY,"Don't tell me what I know, Travis. ",{},1,"Don't tell me what I know, Travis, ",0.9909948,12,12,0.4897959183673469
